run,tp,fee,slip,net_pnl,profit_factor,winrate,n_trades,final_equity,failed,fail_reason,mdd_abs,mdd_pct
tp=0.007_fee=0.0004_slip=0.0002_2024-01-01_to_2024-06-30,0.007,0.0004,0.0002,-974.7672566032742,0.7266609427895006,0.2857142857142857,161,9025.232743396728,True,MAX_LOSS_TOUCH@2024-05-13 00:50:00+00:00,1228.78,0.1198
tp=0.008_fee=0.0004_slip=0.0002_2024-01-01_to_2024-06-30,0.008,0.0004,0.0002,-985.8822501078564,0.7261915983049734,0.25949367088607594,158,9014.11774989215,True,MAX_LOSS_TOUCH@2024-05-13 00:13:00+00:00,1198.76,0.1174
tp=0.006_fee=0.0004_slip=0.0002_2024-01-01_to_2024-06-30,0.006,0.0004,0.0002,-998.4047331869378,0.7125187522545992,0.3212121212121212,165,9001.595266813058,True,MAX_LOSS_TOUCH@2024-05-12 00:05:00+00:00,1191.79,0.1169
tp=0.005_fee=0.0004_slip=0.0002_2024-01-01_to_2024-06-30,0.005,0.0004,0.0002,-982.9614524492695,0.6664263315960952,0.3581081081081081,148,9017.038547550732,True,MAX_LOSS_TOUCH@2024-04-24 00:39:00+00:00,1135.83,0.1119
tp=0.007_fee=0.0004_slip=0.00035_2024-01-01_to_2024-06-30,0.007,0.0004,0.00035,-988.3823133211615,0.6597070467654557,0.29508196721311475,122,9011.617686678843,True,MAX_LOSS_TOUCH@2024-04-10 00:09:00+00:00,1214.82,0.1188
tp=0.006_fee=0.0004_slip=0.00035_2024-01-01_to_2024-06-30,0.006,0.0004,0.00035,-973.6186550143791,0.6529444177193238,0.336,125,9026.381344985626,True,MAX_LOSS_TOUCH@2024-04-09 00:25:00+00:00,1154.84,0.1134
tp=0.007_fee=0.0006_slip=0.0002_2024-01-01_to_2024-06-30,0.007,0.0006,0.0002,-967.5238760751225,0.6340055039544199,0.2962962962962963,108,9032.476123924867,True,MAX_LOSS_TOUCH@2024-03-29 00:52:00+00:00,1201.33,0.1176
tp=0.006_fee=0.0006_slip=0.0002_2024-01-01_to_2024-06-30,0.006,0.0006,0.0002,-984.6276527115567,0.6222754792805868,0.336283185840708,113,9015.372347288443,True,MAX_LOSS_TOUCH@2024-03-30 00:17:00+00:00,1161.79,0.1142
tp=0.008_fee=0.0004_slip=0.00035_2024-01-01_to_2024-06-30,0.008,0.0004,0.00035,-998.5364159511066,0.6205269814364597,0.2571428571428571,105,9001.463584048899,True,MAX_LOSS_TOUCH@2024-03-29 00:17:00+00:00,1183.94,0.1162
tp=0.008_fee=0.0006_slip=0.0002_2024-01-01_to_2024-06-30,0.008,0.0006,0.0002,-980.7399842261615,0.6022128032576707,0.2604166666666667,96,9019.26001577383,True,MAX_LOSS_TOUCH@2024-03-22 00:07:00+00:00,1157.0,0.1137
tp=0.005_fee=0.0004_slip=0.00035_2024-01-01_to_2024-06-30,0.005,0.0004,0.00035,-971.4430424485898,0.5958827562580351,0.37168141592920356,113,9028.556957551418,True,MAX_LOSS_TOUCH@2024-03-27 00:20:00+00:00,1112.18,0.1097
tp=0.007_fee=0.0004_slip=0.0005_2024-01-01_to_2024-06-30,0.007,0.0004,0.0005,-993.8345036069985,0.5951311966791597,0.3020833333333333,96,9006.165496393,True,MAX_LOSS_TOUCH@2024-03-20 00:11:00+00:00,1203.46,0.1179
tp=0.007_fee=0.0006_slip=0.00035_2024-01-01_to_2024-06-30,0.007,0.0006,0.00035,-974.7948413847485,0.5941303933911006,0.3118279569892473,93,9025.20515861525,True,MAX_LOSS_TOUCH@2024-03-17 00:05:00+00:00,1180.36,0.1157
tp=0.008_fee=0.0004_slip=0.0005_2024-01-01_to_2024-06-30,0.008,0.0004,0.0005,-982.4225058712464,0.591871920240099,0.27472527472527475,91,9017.577494128758,True,MAX_LOSS_TOUCH@2024-03-17 00:05:00+00:00,1140.41,0.1123
tp=0.006_fee=0.0004_slip=0.0005_2024-01-01_to_2024-06-30,0.006,0.0004,0.0005,-993.0227768380677,0.5887138402583343,0.3465346534653465,101,9006.977223161924,True,MAX_LOSS_TOUCH@2024-03-21 00:05:00+00:00,1162.08,0.1143
tp=0.007_fee=0.0008_slip=0.0002_2024-01-01_to_2024-06-30,0.007,0.0008,0.0002,-986.4728088721056,0.5854736991476932,0.31868131868131866,91,9013.527191127894,True,MAX_LOSS_TOUCH@2024-03-15 00:05:00+00:00,1187.98,0.1165
tp=0.006_fee=0.0006_slip=0.00035_2024-01-01_to_2024-06-30,0.006,0.0006,0.00035,-978.4933431442915,0.5853788908575994,0.35714285714285715,98,9021.50665685572,True,MAX_LOSS_TOUCH@2024-03-18 01:27:00+00:00,1143.5,0.1125
tp=0.008_fee=0.0006_slip=0.00035_2024-01-01_to_2024-06-30,0.008,0.0006,0.00035,-994.0984736006881,0.5839106460351928,0.2808988764044944,89,9005.901526399313,True,MAX_LOSS_TOUCH@2024-03-15 00:05:00+00:00,1142.96,0.1126
tp=0.005_fee=0.0006_slip=0.0002_2024-01-01_to_2024-06-30,0.005,0.0006,0.0002,-972.0465162167806,0.5766337956654483,0.37735849056603776,106,9027.953483783214,True,MAX_LOSS_TOUCH@2024-03-22 00:30:00+00:00,1108.74,0.1094
tp=0.006_fee=0.0008_slip=0.0002_2024-01-01_to_2024-06-30,0.006,0.0008,0.0002,-994.5267416933474,0.5676956772427695,0.3617021276595745,94,9005.473258306652,True,MAX_LOSS_TOUCH@2024-03-15 00:05:00+00:00,1155.49,0.1137
tp=0.005_fee=0.0004_slip=0.0005_2024-01-01_to_2024-06-30,0.005,0.0004,0.0005,-980.7256230200616,0.5456357615804042,0.3917525773195876,97,9019.274376979934,True,MAX_LOSS_TOUCH@2024-03-15 00:08:00+00:00,1109.34,0.1095
tp=0.005_fee=0.0006_slip=0.00035_2024-01-01_to_2024-06-30,0.005,0.0006,0.00035,-997.8065518476135,0.5324187989403256,0.4,95,9002.193448152382,True,MAX_LOSS_TOUCH@2024-03-13 00:09:00+00:00,1122.38,0.1109
tp=0.007_fee=0.0006_slip=0.0005_2024-01-01_to_2024-06-30,0.007,0.0006,0.0005,-987.1659572560293,0.5295702014055619,0.3157894736842105,76,9012.834042743965,True,MAX_LOSS_TOUCH@2024-03-03 00:21:00+00:00,1180.55,0.1158
tp=0.008_fee=0.0008_slip=0.0002_2024-01-01_to_2024-06-30,0.008,0.0008,0.0002,-982.7542839296345,0.52708336058427,0.2702702702702703,74,9017.24571607036,True,MAX_LOSS_TOUCH@2024-03-03 00:21:00+00:00,1123.11,0.1108
tp=0.007_fee=0.0008_slip=0.00035_2024-01-01_to_2024-06-30,0.007,0.0008,0.00035,-978.0791923318075,0.5258150916459698,0.32432432432432434,74,9021.920807668188,True,MAX_LOSS_TOUCH@2024-03-01 00:05:00+00:00,1167.41,0.1146
tp=0.008_fee=0.0006_slip=0.0005_2024-01-01_to_2024-06-30,0.008,0.0006,0.0005,-964.5838082693074,0.5212507059712513,0.2857142857142857,70,9035.416191730697,True,MAX_LOSS_TOUCH@2024-02-28 00:24:00+00:00,1096.86,0.1083
tp=0.006_fee=0.0006_slip=0.0005_2024-01-01_to_2024-06-30,0.006,0.0006,0.0005,-993.6925608926072,0.5159982131605684,0.3625,80,9006.307439107391,True,MAX_LOSS_TOUCH@2024-03-04 00:15:00+00:00,1146.56,0.1129
tp=0.006_fee=0.0008_slip=0.00035_2024-01-01_to_2024-06-30,0.006,0.0008,0.00035,-988.2185753153286,0.5098273115090147,0.3717948717948718,78,9011.781424684676,True,MAX_LOSS_TOUCH@2024-03-02 00:35:00+00:00,1137.04,0.112
